library,name,tags
lucide-lab,desk-lamp,office|workstation|table|drawers|household|lighting|ambience|ambiance|furniture|home
lucide-lab,diaper,nappy|absorbent|potty|newborn|childproof|children|infant|kids|toddler|mother|mum|family|people|home|shopping
lucide-lab,dishwasher,kitchen|appliances|amenities|electric|cleaning|cycle|plates|glasses|cutlery|utensils|home|devices|travel
lucide-lab,dollar-sign-circle,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|coin|usd|currency|money|shapes
lucide-lab,dollar-sign-square,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|usd|toolbar|button|currency|money|shapes
lucide-lab,doorbell-intercom,buzzer|speaker|call|service|summon|hospitality|hotel|accommodation|elevator|lift|ring|ding|sound|access|gate|buildings|home|travel|security
lucide-lab,dress,skirt|womens|girls|female|ladies|store|sexy|classy|clothing|clothes|apparel|attire|outfit|fashion|formal|fancy|smart|refined|elegant|evening_wear|nightlife|club|party|occasion|gathering|wedding|tailored|thread|cotton|staps|shopping|social
lucide-lab,egg-cup,boiled|soldiers|continental_breakfast|brunch|meal|morning|food-beverage
lucide-lab,elephant-face,mammoth|mastodon|mammal|memory|remember|trunk|tusks|safari|savannah|wildlife|herbivore|herd|calf|dumbo|evernote|animals
lucide-lab,elephant,mammoth|mastodon|mammal|memory|remember|trunk|tusks|safari_park|savannah|wildlife|herbivore|herd|calf|dumbo|animals
lucide-lab,escalator-arrow-down-left,steps|stairs|staircase|conveyor_belt|conveyer|ground_floor|levels|signage|directions|diagonal|buildings|travel|arrows
lucide-lab,escalator-arrow-up-right,steps|stairs|staircase|conveyor_belt|conveyer|top_floor|levels|signage|directions|diagonal|buildings|travel|arrows
lucide-lab,euro-circle,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|coin|currency|money|shapes
lucide-lab,euro-square,monetization|marketing|finance|financial|markets|exchange|trader|trading|transaction|payment|toolbar|button|currency|money|shapes
lucide-lab,face-alien,extraterrestrial|life_form|outer_space|interplanetary|galactic|universe|area_51|science|emoji|gaming
lucide-lab,fan-handheld,folding|cooler|airflow|waft|decoration|ornate|oriental|chinese|culture|wisdom|colors|spectrum|range|guide|tools|social|design
lucide-lab,farm,farmland|ranch|acres|fields|harvest|silo|farmhouse|barn|door|buildings|maps|sustainability|animals|food-beverage
lucide-lab,faucet,tap|spigot|water|drinking|fresh|source|pipes|plumbing|plumber|food-beverage|home|maps
lucide-lab,feather-plus,quill|pen|write|writing|prose|inkwell|scribe|scroll|draft|new|add|text|social
lucide-lab,feather-square,quill|pen|write|writing|prose|inkwell|scribe|scroll|draft|edit|text|social|shapes
lucide-lab,feather-text,quill|pen|write|writing|prose|inkwell|scribe|scroll|draft|signature|text
lucide-lab,flippers,snorkeling|scuba|submerge|freediving|diver|location|spot|gear|equipment|vacation|summer_holiday|seaside|beach|marine|ocean|depth|deep|underwater|aquatic|encounter|exploration|tourism|travel|maps
lucide-lab,floor-plan,blueprint|property|real_estate|house|home|dwelling|living_space|rooms|doorway|area|measure|square_meter|buildings
lucide-lab,floppy-disk-2,format|data|storage|capacity|megabytes|mb|label|files|devices
lucide-lab,floppy-disk-rear,format|data|storage|capacity|megabytes|mb|label|back|reverse|files|devices
lucide-lab,floppy-disk,format|data|storage|capacity|megabytes|mb|label|files|devices
lucide-lab,floppy-disks-2,copy|format|data|storage|capacity|megabytes|mb|label|files|devices
lucide-lab,floppy-disks-rear,copy|format|data|storage|capacity|megabytes|mb|label|back|reverse|files|devices
lucide-lab,floppy-disks,copy|format|data|storage|capacity|megabytes|mb|label|files|devices
lucide-lab,flower-lotus,water_lily|petals|plant|spring|bloom|blossom|flora|pond|aquatic|sacred|purity|longevity|culture|philosopy|sprituality|meditation|wellbeing|lifestyle|nature|seasons|sustainability
lucide-lab,flower-pot,petals|houseplant|stem|spring|bloom|blossom|gardening|botanical|flora|florist|nature|seasons|home|gaming
lucide-lab,flower-rose-single,roses|thorns|petals|plant|stem|leaves|spring|bloom|blossom|gardening|botanical|flora|florist|bouquet|bunch|gift|date|romance|romantic|valentines_day|special_occasion|nature|seasons|sustainability|home|social
lucide-lab,flower-rose,roses|thorns|petals|plant|stem|leaves|spring|bloom|blossom|gardening|botanical|flora|florist|bouquet|bunch|gift|date|romance|romantic|valentines_day|special_occasion|nature|seasons|sustainability|home|social
lucide-lab,flower-stem,petals|plant|leaves|spring|bloom|blossom|gardening|botanical|flora|florist|bouquet|bunch|gift|special_occasion|nature|seasons|sustainability|home|gaming
lucide-lab,flower-tulip,petals|plant|stem|leaves|spring|bloom|blossom|gardening|botanical|flora|florist|bouquet|bunch|gift|romantic|special_occasion|nature|seasons|sustainability|home|gaming
lucide-lab,football-goal,american|gridiron|posts|field|score|touchdown|pitch|team|sports|gaming
lucide-lab,football-helmet,american|gridiron|touchdown|kick|pitch|team|cricket|protective_equipment|protection|padding|headgear|goal|score|bounce|sports|gaming
lucide-lab,football,rugby|american|touchdown|kick|pitch|team|goal|score|bounce|super_bowl|nfl|sports|gaming
lucide-lab,fork-knife-crossed,utensils|kitchenware|cutlery|culinary|cooking|cookery|cut|slice|eat|restaurant|meal|breakfast|brunch|lunch|dinner|supper|food-beverage|home|tools|travel|maps
lucide-lab,fork-knife,utensils|kitchenware|cutlery|culinary|cooking|cookery|cut|slice|eat|restaurant|meal|breakfast|brunch|lunch|dinner|supper|food-beverage|home|tools|travel|maps
lucide-lab,fox-face-tail,sly|wily|cunning|canine|mammal|bushy|furry|firefox|animals
lucide-lab,frog-face,jump|hop|lilly_pad|pond_life|aquatic|amphibian|tadpole|animals
lucide-lab,fruit,citrus|orange|grapefruit|lime|tomato|pomodoro_technique|productivity|work|egg_timer|timing|alarm|alert|olive|pitted|passion_fruit|guava|juice|squeeze|smoothie|tropical|sweet|bitter|snack|meal|lunch|ingredient|cooking|cookery|kitchen|cuisine|eating|healthy|nutrition|diet|fruit_machine|slots|gambling|jackpot|food-beverage|gaming|time|devices|home
lucide-lab,garlic,flavor|flavour|spice|vegetable|ingredient|cooking|cookery|kitchen|cuisine|eating|nutrition|diet|food-beverage
lucide-lab,gearbox-square,gears|gear_lever|gearstick|shift|speed|driving|driver|racing|racer|motor_sport|formula_one|formula_1|f1|car|vehicle|mechanical|clutch|ratio|sports|gaming
lucide-lab,gearbox,gears|gear_lever|gearstick|shift|speed|driving|driver|racing|racer|motor_sport|formula_one|formula_1|f1|car|vehicle|mechanical|clutch|ratio|sports|gaming
lucide-lab,gem-ring,diamond|crystal|ruby|rock|jewellery|price|special|present|gift|wedding|proposal|marriage|accessories|social
lucide-lab,glasses-square,spectacles|eyesight|vision|reading|learning|education|academic|books|nerd|geek|accessibility|medical|shopping
lucide-lab,glasses-sun,aviators|shades|sunglasses|summer_holiday|seaside|beachwear|vacation|accessories|fashion|shopping|travel
lucide-lab,goal-net,score|football|futbol|soccer|ice_hockey|posts|crossbar|kick|pitch|penalty|sports|gaming
